latitude,longitude,speed,date/time,boat,trip,distance,,,,,,,,
,,,,,,,,,,,,,,
32.87094,-117.25105,0.88896,2/12/16 0:53,shark1,0,107,,,,,,,,
32.87095,-117.25105,3.12988,2/12/16 0:54,shark1,0,109,,,,,,,,
32.87094,-117.25105,3.50028,2/12/16 0:54,shark1,0,107,,,,,,,,
32.87013,-117.25211,0.07408,2/12/16 0:55,shark1,0,43,,,,,,,,
32.87012,-117.25207,0.44448,2/12/16 0:55,shark1,0,39,,,,,,,,
32.87012,-117.25205,0.11112,2/12/16 0:55,shark1,0,38,,,,,,,,
32.87011,-117.25206,0.35188,2/12/16 0:56,shark1,0,39,,,,,,,,
32.87011,-117.25207,0.11112,2/12/16 0:56,shark1,0,39,,,,,,,,
,,,,,,,,,,,,,,
32.87094,-117.25105,0.88896,2/12/16 0:53,shark1,0,107,,,,,,,,
32.87095,-117.25105,3.12988,2/12/16 0:54,shark1,0,109,,,,,,,,
32.87094,-117.25105,3.50028,2/12/16 0:54,shark1,0,107,,,,,,,,
32.87013,-117.25211,0.07408,2/12/16 0:55,shark1,0,43,,,,,,,,
32.87012,-117.25207,0.44448,2/12/16 0:55,shark1,0,39,,,,,,,,
32.87012,-117.25205,0.11112,2/12/16 0:55,shark1,0,38,,,,,,,,
32.87011,-117.25206,0.35188,2/12/16 0:56,shark1,0,39,,,,,,,,
32.87011,-117.25207,0.11112,2/12/16 0:56,shark1,0,39,,,,,,,,
32.87011,-117.25208,0.31484,2/12/16 0:56,shark1,0,41,,,,,,,,
32.87011,-117.2521,0.62968,2/12/16 0:56,shark1,0,42,,,,,,,,
32.87011,-117.25211,0.42596,2/12/16 0:56,shark1,0,43,,,,,,,,
32.87011,-117.25211,0.88896,2/12/16 0:57,shark1,0,44,,,,,,,,
32.8701,-117.2521,0.29632,2/12/16 0:57,shark1,0,42,,,,,,,,
,,,,,,,,,,,,,,
32.87094,-117.25105,0.88896,2/12/16 0:53,shark1,0,107,,,,,,,,
32.87095,-117.25105,3.12988,2/12/16 0:54,shark1,0,109,,,,,,,,
32.87094,-117.25105,3.50028,2/12/16 0:54,shark1,0,107,,,,,,,,
32.87013,-117.25211,0.07408,2/12/16 0:55,shark1,0,43,,,,,,,,
32.87012,-117.25207,0.44448,2/12/16 0:55,shark1,0,39,,,,,,,,
32.87012,-117.25205,0.11112,2/12/16 0:55,shark1,0,38,,,,,,,,
32.87011,-117.25206,0.35188,2/12/16 0:56,shark1,0,39,,,,,,,,
32.87011,-117.25207,0.11112,2/12/16 0:56,shark1,0,39,,,,,,,,
32.87011,-117.25208,0.31484,2/12/16 0:56,shark1,0,41,,,,,,,,
32.87011,-117.2521,0.62968,2/12/16 0:56,shark1,0,42,,,,,,,,
32.87011,-117.25211,0.42596,2/12/16 0:56,shark1,0,43,,,,,,,,
32.87011,-117.25211,0.88896,2/12/16 0:57,shark1,0,44,,,,,,,,
32.8701,-117.2521,0.29632,2/12/16 0:57,shark1,0,42,,,,,,,,
32.87011,-117.25208,0.35188,2/12/16 0:57,shark1,0,41,,,,,,,,
32.8701,-117.25207,0.12964,2/12/16 0:57,shark1,0,39,,,,,,,,
32.8701,-117.25208,0.463,2/12/16 0:57,shark1,0,40,,,,,,,,
32.8701,-117.25208,0.07408,2/12/16 0:58,shark1,0,40,,,,,,,,
32.8701,-117.25207,0.05556,2/12/16 0:58,shark1,0,39,,,,,,,,
,,,,,,,,,,,,,,
32.87094,-117.25105,0.88896,2/12/16 0:53,shark1,0,107,,,,,,,,
32.87095,-117.25105,3.12988,2/12/16 0:54,shark1,0,109,,,,,,,,
32.87094,-117.25105,3.50028,2/12/16 0:54,shark1,0,107,,,,,,,,
32.87013,-117.25211,0.07408,2/12/16 0:55,shark1,0,43,,,,,,,,
32.87012,-117.25207,0.44448,2/12/16 0:55,shark1,0,39,,,,,,,,
32.87012,-117.25205,0.11112,2/12/16 0:55,shark1,0,38,,,,,,,,
32.87011,-117.25206,0.35188,2/12/16 0:56,shark1,0,39,,,,,,,,
32.87011,-117.25207,0.11112,2/12/16 0:56,shark1,0,39,,,,,,,,
32.87011,-117.25208,0.31484,2/12/16 0:56,shark1,0,41,,,,,,,,
32.87011,-117.2521,0.62968,2/12/16 0:56,shark1,0,42,,,,,,,,
32.87011,-117.25211,0.42596,2/12/16 0:56,shark1,0,43,,,,,,,,
32.87011,-117.25211,0.88896,2/12/16 0:57,shark1,0,44,,,,,,,,
32.8701,-117.2521,0.29632,2/12/16 0:57,shark1,0,42,,,,,,,,
32.87011,-117.25208,0.35188,2/12/16 0:57,shark1,0,41,,,,,,,,
32.8701,-117.25207,0.12964,2/12/16 0:57,shark1,0,39,,,,,,,,
32.8701,-117.25208,0.463,2/12/16 0:57,shark1,0,40,,,,,,,,
32.8701,-117.25208,0.07408,2/12/16 0:58,shark1,0,40,,,,,,,,
