latitude,longitude,speed,date_time,boat,trip,distance
31.65638,-114.53074,49.50396,3/18/16 14:38,shark1,3,4154
31.65474,-114.53167,47.67048,3/18/16 14:38,shark1,3,4351
31.65325,-114.53273,46.55928,3/18/16 14:38,shark1,3,4543
31.65174,-114.53391,48.13348,3/18/16 14:39,shark1,3,4744
31.65005,-114.53522,59.43068,3/18/16 14:39,shark1,3,4968
31.64805,-114.53645,62.15312,3/18/16 14:39,shark1,3,5215
31.64598,-114.5379,63.74584,3/18/16 14:39,shark1,3,5481
31.64399,-114.53946,63.2458,3/18/16 14:40,shark1,3,5746
31.64199,-114.54079,61.65308,3/18/16 14:40,shark1,3,6000
31.63989,-114.54221,62.56056,3/18/16 14:40,shark1,3,6267
31.63784,-114.54346,64.41256,3/18/16 14:40,shark1,3,6520
31.63577,-114.54483,62.70872,3/18/16 14:41,shark1,3,6783
31.63367,-114.54617,63.74584,3/18/16 14:41,shark1,3,7047
31.63166,-114.54758,62.1346,3/18/16 14:41,shark1,3,7307
31.62963,-114.54917,61.43084,3/18/16 14:41,shark1,3,7578
31.62774,-114.55073,60.22704,3/18/16 14:42,shark1,3,7834
31.62577,-114.55222,62.56056,3/18/16 14:42,shark1,3,8095
31.62387,-114.55375,60.81968,3/18/16 14:42,shark1,3,8351
31.62176,-114.55461,58.8936,3/18/16 14:42,shark1,3,8590
31.61958,-114.55572,59.94924,3/18/16 14:43,shark1,3,8849
31.61751,-114.55672,60.5604,3/18/16 14:43,shark1,3,9092
31.61547,-114.55789,61.96792,3/18/16 14:43,shark1,3,9342
31.6132,-114.55917,62.8754,3/18/16 14:43,shark1,3,9620
31.61108,-114.56033,61.63456,3/18/16 14:44,shark1,3,9877
31.60896,-114.56127,64.4496,3/18/16 14:44,shark1,3,10122
31.60703,-114.56264,56.65268,3/18/16 14:44,shark1,3,10373
31.60528,-114.56364,54.3562,3/18/16 14:44,shark1,3,10588
31.60353,-114.56459,51.856,3/18/16 14:45,shark1,3,10799
31.60164,-114.56551,54.41176,3/18/16 14:45,shark1,3,11024
31.59971,-114.56648,52.09676,3/18/16 14:45,shark1,3,11255
31.59789,-114.5673,52.26344,3/18/16 14:45,shark1,3,11467
31.59596,-114.56815,53.83764,3/18/16 14:46,shark1,3,11692
31.59417,-114.56895,51.98564,3/18/16 14:46,shark1,3,11901
31.59223,-114.56927,53.35612,3/18/16 14:46,shark1,3,12100
31.59045,-114.56983,53.46724,3/18/16 14:46,shark1,3,12297
31.58841,-114.57018,54.89328,3/18/16 14:47,shark1,3,12508
31.58653,-114.57069,51.2078,3/18/16 14:47,shark1,3,12713
31.58469,-114.57102,51.93008,3/18/16 14:47,shark1,3,12906
31.58265,-114.57124,51.44856,3/18/16 14:47,shark1,3,13113
31.58055,-114.57146,56.3008,3/18/16 14:48,shark1,3,13326
31.57851,-114.57162,55.4674,3/18/16 14:48,shark1,3,13532
31.57659,-114.57153,50.87444,3/18/16 14:48,shark1,3,13716
31.57588,-114.57084,19.24228,3/18/16 14:48,shark1,3,13753
31.57688,-114.57089,21.81656,3/18/16 14:49,shark1,3,13658
31.57633,-114.57009,22.05732,3/18/16 14:49,shark1,3,13676
31.57505,-114.5697,44.55912,3/18/16 14:49,shark1,3,13786
31.57325,-114.56946,47.89272,3/18/16 14:49,shark1,3,13952
31.57116,-114.57024,61.8568,3/18/16 14:50,shark1,3,14194
31.56904,-114.57143,61.3012,3/18/16 14:50,shark1,3,14455
31.56699,-114.57257,61.81976,3/18/16 14:50,shark1,3,14707
31.56476,-114.57368,60.85672,3/18/16 14:50,shark1,3,14976
31.56282,-114.57464,59.46772,3/18/16 14:51,shark1,3,15209
31.56065,-114.57574,61.52344,3/18/16 14:51,shark1,3,15472
31.55852,-114.57666,61.54196,3/18/16 14:51,shark1,3,15723
31.5564,-114.57771,60.5604,3/18/16 14:51,shark1,3,15978
31.55421,-114.57871,62.4124,3/18/16 14:52,shark1,3,16238
31.55202,-114.57961,60.96784,3/18/16 14:52,shark1,3,16495
31.54977,-114.58049,62.91244,3/18/16 14:52,shark1,3,16756
31.54754,-114.58144,61.33824,3/18/16 14:52,shark1,3,17018
31.54551,-114.58224,61.74568,3/18/16 14:53,shark1,3,17254
31.54325,-114.58311,63.09764,3/18/16 14:53,shark1,3,17517
31.54115,-114.58404,60.98636,3/18/16 14:53,shark1,3,17766
31.53908,-114.58482,58.801,3/18/16 14:53,shark1,3,18005
31.53701,-114.58585,58.41208,3/18/16 14:54,shark1,3,18255
31.53505,-114.58659,53.35612,3/18/16 14:54,shark1,3,18483
31.53325,-114.58717,46.31852,3/18/16 14:54,shark1,3,18687
31.53262,-114.58864,35.94732,3/18/16 14:54,shark1,3,18810
31.53095,-114.58871,43.985,3/18/16 14:55,shark1,3,18980
31.52921,-114.58872,46.04072,3/18/16 14:55,shark1,3,19156
31.52742,-114.58871,47.00376,3/18/16 14:55,shark1,3,19336
31.52558,-114.58872,47.02228,3/18/16 14:55,shark1,3,19522
31.52377,-114.58865,47.92976,3/18/16 14:56,shark1,3,19703
31.5222,-114.58918,46.22592,3/18/16 14:56,shark1,3,19882
31.52068,-114.58995,44.15168,3/18/16 14:56,shark1,3,20066
31.51907,-114.58985,43.85536,3/18/16 14:56,shark1,3,20226
31.51748,-114.58938,43.02196,3/18/16 14:57,shark1,3,20368
31.51574,-114.58916,44.00352,3/18/16 14:57,shark1,3,20538
31.51411,-114.58884,42.42932,3/18/16 14:57,shark1,3,20692
